오브젝트 아이디,공간정보참조체계 코드,시군구명,공간정보
77,1000000385154G00110000000000100582,해주군,"SDE.ST_GEOMETRY(8,1120,833811.3823,2000038.856,857323.7356,2014990.048,NULL,NULL,NULL,NULL,217720741.5,90808.77268,19,'oracle.sql.BLOB@bf106a2')"
78,1000000386013G00110000000000100448,상원군,"SDE.ST_GEOMETRY(8,1284,864111.5142,2078324.439,888971.4665,2112482.371,NULL,NULL,NULL,NULL,489696812.5,123490.0856,19,'oracle.sql.BLOB@51170366')"
79,1000000386021G00110000000000100449,연산군,"SDE.ST_GEOMETRY(8,1228,878860.6696,2084422.412,918945.4179,2111354.602,NULL,NULL,NULL,NULL,547194481.5,133768.1993,19,'oracle.sql.BLOB@7850f25c')"
80,1000000386051G00110000000000100472,연탄군,"SDE.ST_GEOMETRY(8,1233,852134.651,2063252.326,890617.3928,2085619.014,NULL,NULL,NULL,NULL,548223348.7,128954.7915,19,'oracle.sql.BLOB@342aa81f')"
81,1000000386054G00110000000000100495,서흥군,"SDE.ST_GEOMETRY(8,1327,874023.6317,2038009.535,905241.141,2074580.401,NULL,NULL,NULL,NULL,569549397.2,134729.2566,19,'oracle.sql.BLOB@376d6c2e')"
82,1000000386062G00110000000000100465,수안군,"SDE.ST_GEOMETRY(8,1375,888398.6635,2061508.563,921318.2221,2092990.5,NULL,NULL,NULL,NULL,654693764.8,143625.463,19,'oracle.sql.BLOB@5e085596')"
83,1000000386072G00110000000000100463,곡산군,"SDE.ST_GEOMETRY(8,1421,915175.704,2069952.989,946678.2748,2096236.418,NULL,NULL,NULL,NULL,508600258.4,123898.5384,19,'oracle.sql.BLOB@21358e19')"
84,1000000386073G00110000000000100493,신계군,"SDE.ST_GEOMETRY(8,2047,896045.37,2038180.046,932596.2515,2075188.347,NULL,NULL,NULL,NULL,725255193.5,156901.743,19,'oracle.sql.BLOB@40bea070')"
85,1000000386082G00110000000000100457,판교군,"SDE.ST_GEOMETRY(8,2601,927322.129,2060973.888,973947.9795,2101293.273,NULL,NULL,NULL,NULL,832408866,203496.9134,19,'oracle.sql.BLOB@1ceeb855')"
86,1000000386083G00110000000000100497,이천군,"SDE.ST_GEOMETRY(8,1847,929613.2605,2040570.378,960917.8917,2071987.709,NULL,NULL,NULL,NULL,604866016.4,134032.7303,19,'oracle.sql.BLOB@56fabb')"
87,1000000386093G00110000000000100553,인산군,"SDE.ST_GEOMETRY(8,821,860219.8054,2019662.527,892110.8003,2049429.223,NULL,NULL,NULL,NULL,498786015.8,129963.7354,19,'oracle.sql.BLOB@d1ef9ee')"
88,1000000386104G00110000000000100550,평산군,"SDE.ST_GEOMETRY(8,1116,886575.0699,2018838.565,920490.7867,2052476.737,NULL,NULL,NULL,NULL,538265277.2,135621.1442,19,'oracle.sql.BLOB@3816651d')"
89,1000000386123G00110000000000100552,토산군,"SDE.ST_GEOMETRY(8,1366,922327.0309,2021433.936,946645.036,2050289.079,NULL,NULL,NULL,NULL,403402444.4,113016.4358,19,'oracle.sql.BLOB@51534e5a')"
90,1000000386132G00110000000000100571,봉천군,"SDE.ST_GEOMETRY(8,816,867596.2873,2004856.799,907158.7339,2027248.953,NULL,NULL,NULL,NULL,502991570,125906.8798,19,'oracle.sql.BLOB@6667f5e9')"
91,1000000386151G00110000000000100556,금천군,"SDE.ST_GEOMETRY(8,1134,900981.4321,2002279.222,925100.948,2042124.653,NULL,NULL,NULL,NULL,446532796.6,141797.8714,19,'oracle.sql.BLOB@1c4ca142')"
92,1000000386163G00110000000000100572,장풍군,"SDE.ST_GEOMETRY(8,1172,919458.7401,1996854.556,952743.0295,2025860.591,NULL,NULL,NULL,NULL,556639468.8,119160.4217,19,'oracle.sql.BLOB@1779015b')"
93,1000000386164G00110000000000100579,왕징면,"SDE.ST_GEOMETRY(8,333,945191.2128,2005770.345,957917.7945,2016938.857,NULL,NULL,NULL,NULL,59415099.5,52352.75568,19,'oracle.sql.BLOB@5c13ac70')"
94,1000000386164G00110000000000100587,백학면,"SDE.ST_GEOMETRY(8,381,942600.8843,2000135.424,953436.91,2009423.048,NULL,NULL,NULL,NULL,55352197.09,42725.77803,19,'oracle.sql.BLOB@582c2a6')"
95,1000000386164G00110000000000100598,적성면,"SDE.ST_GEOMETRY(8,31,952973.2561,2000118.671,955969.0969,2000663.192,NULL,NULL,NULL,NULL,1111522.881,6432.683797,19,'oracle.sql.BLOB@7c3d25e5')"
96,1000000387012G00110000000000100705,법동군,"SDE.ST_GEOMETRY(8,1189,954998.3667,2089298.426,984475.303,2132278.497,NULL,NULL,NULL,NULL,840567200,146980.4079,19,'oracle.sql.BLOB@231180e0')"
97,1000000387022G00110000000000100439,고산군,"SDE.ST_GEOMETRY(8,937,980817.124,2084741.98,1003770.837,2116745.683,NULL,NULL,NULL,NULL,434459616.9,100642.0986,19,'oracle.sql.BLOB@6220d8de')"
98,1000000387041G00110000000000100426,통천군,"SDE.ST_GEOMETRY(264,4539,1009727.135,2085509.68,1042726.838,2125970.437,NULL,NULL,NULL,NULL,606898890.5,158769.6889,19,'oracle.sql.BLOB@7124b1ce')"
99,1000000387061G00110000000000100460,세포군,"SDE.ST_GEOMETRY(8,1959,959279.4569,2054279.122,998893.4889,2098023.315,NULL,NULL,NULL,NULL,963258017.7,167524.9921,19,'oracle.sql.BLOB@64a3b002')"
100,1000000387071G00110000000000100458,회양군,"SDE.ST_GEOMETRY(8,1879,991739.9111,2063670.869,1026828.904,2100352.145,NULL,NULL,NULL,NULL,736718220.1,136626.0494,19,'oracle.sql.BLOB@4b1a2af6')"
